,No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
0,1,2010,1,1,0,4,,,,,-21.0,43.0,1021.0,-11.0,NW,1.79,0.0,0.0
1,2,2010,1,1,1,4,,,,,-21.0,47.0,1020.0,-12.0,NW,4.92,0.0,0.0
2,3,2010,1,1,2,4,,,,,-21.0,43.0,1019.0,-11.0,NW,6.71,0.0,0.0
3,4,2010,1,1,3,4,,,,,-21.0,55.0,1019.0,-14.0,NW,9.84,0.0,0.0
4,5,2010,1,1,4,4,,,,,-20.0,51.0,1018.0,-12.0,NW,12.97,0.0,0.0
5,6,2010,1,1,5,4,,,,,-19.0,47.0,1017.0,-10.0,NW,16.1,0.0,0.0
6,7,2010,1,1,6,4,,,,,-19.0,44.0,1017.0,-9.0,NW,19.23,0.0,0.0
7,8,2010,1,1,7,4,,,,,-19.0,44.0,1017.0,-9.0,NW,21.02,0.0,0.0
8,9,2010,1,1,8,4,,,,,-19.0,44.0,1017.0,-9.0,NW,24.15,0.0,0.0
9,10,2010,1,1,9,4,,,,,-20.0,37.0,1017.0,-8.0,NW,27.28,0.0,0.0
10,11,2010,1,1,10,4,,,,,-19.0,37.0,1017.0,-7.0,NW,31.3,0.0,0.0
11,12,2010,1,1,11,4,,,,,-18.0,35.0,1017.0,-5.0,NW,34.43,0.0,0.0
12,13,2010,1,1,12,4,,,,,-19.0,32.0,1015.0,-5.0,NW,37.56,0.0,0.0
13,14,2010,1,1,13,4,,,,,-18.0,30.0,1015.0,-3.0,NW,40.69,0.0,0.0
14,15,2010,1,1,14,4,,,,,-18.0,28.0,1014.0,-2.0,NW,43.82,0.0,0.0
15,16,2010,1,1,15,4,,,,,-18.0,26.0,1014.0,-1.0,cv,0.89,0.0,0.0
16,17,2010,1,1,16,4,,,,,-19.0,25.0,1015.0,-2.0,NW,1.79,0.0,0.0
17,18,2010,1,1,17,4,,,,,-18.0,30.0,1015.0,-3.0,NW,2.68,0.0,0.0
18,19,2010,1,1,18,4,,,,,-18.0,35.0,1016.0,-5.0,NE,1.79,0.0,0.0
19,20,2010,1,1,19,4,,,,,-17.0,35.0,1017.0,-4.0,NW,1.79,0.0,0.0
20,21,2010,1,1,20,4,,,,,-17.0,38.0,1017.0,-5.0,cv,0.89,0.0,0.0
21,22,2010,1,1,21,4,,,,,-17.0,38.0,1018.0,-5.0,NW,1.79,0.0,0.0
22,23,2010,1,1,22,4,,,,,-17.0,38.0,1018.0,-5.0,NW,2.68,0.0,0.0
23,24,2010,1,1,23,4,,,,129.0,-17.0,41.0,1020.0,-5.0,cv,0.89,0.0,0.0
24,25,2010,1,2,0,4,,,,148.0,-16.0,38.0,1020.0,-4.0,SE,1.79,0.0,0.0
25,26,2010,1,2,1,4,,,,159.0,-15.0,42.0,1020.0,-4.0,SE,2.68,0.0,0.0
26,27,2010,1,2,2,4,,,,181.0,-11.0,63.5,1021.0,-5.0,SE,3.57,0.0,0.0
27,28,2010,1,2,3,4,,,,138.0,-7.0,85.0,1022.0,-5.0,SE,5.36,0.0,0.0
28,29,2010,1,2,4,4,,,,109.0,-7.0,85.0,1022.0,-5.0,SE,6.25,0.0,0.0
29,30,2010,1,2,5,4,,,,105.0,-7.0,92.0,1022.0,-6.0,SE,7.14,0.0,0.0
30,31,2010,1,2,6,4,,,,124.0,-7.0,92.0,1023.0,-6.0,SE,8.93,0.0,0.0
31,32,2010,1,2,7,4,,,,120.0,-7.0,85.0,1024.0,-5.0,SE,10.72,0.0,0.0
32,33,2010,1,2,8,4,,,,132.0,-8.0,85.0,1024.0,-6.0,SE,12.51,0.0,0.0
33,34,2010,1,2,9,4,,,,140.0,-7.0,85.0,1025.0,-5.0,SE,14.3,0.0,0.0
34,35,2010,1,2,10,4,,,,152.0,-7.0,85.0,1026.0,-5.0,SE,17.43,0.0,0.0
35,36,2010,1,2,11,4,,,,148.0,-8.0,79.0,1026.0,-5.0,SE,20.56,0.0,0.0
36,37,2010,1,2,12,4,,,,164.0,-8.0,79.0,1026.0,-5.0,SE,23.69,0.0,0.0
37,38,2010,1,2,13,4,,,,158.0,-8.0,79.0,1025.0,-5.0,SE,27.71,0.0,0.0
38,39,2010,1,2,14,4,,,,154.0,-9.0,73.0,1025.0,-5.0,SE,31.73,0.0,0.0
39,40,2010,1,2,15,4,,,,159.0,-9.0,73.0,1025.0,-5.0,SE,35.75,0.0,0.0
40,41,2010,1,2,16,4,,,,164.0,-9.0,73.0,1026.0,-5.0,SE,37.54,0.0,0.0
41,42,2010,1,2,17,4,,,,170.0,-8.0,79.0,1027.0,-5.0,SE,39.33,0.0,0.0
42,43,2010,1,2,18,4,,,,149.0,-8.0,79.0,1027.0,-5.0,SE,42.46,0.0,0.0
43,44,2010,1,2,19,4,,,,154.0,-8.0,79.0,1028.0,-5.0,SE,44.25,0.0,0.0
44,45,2010,1,2,20,4,,,,164.0,-7.0,85.0,1028.0,-5.0,SE,46.04,0.0,0.0
45,46,2010,1,2,21,4,,,,156.0,-7.0,85.0,1027.0,-5.0,SE,49.17,0.0,0.0
46,47,2010,1,2,22,4,,,,126.0,-8.0,85.0,1028.0,-6.0,SE,52.3,0.0,0.0
47,48,2010,1,2,23,4,,,,90.0,-8.0,85.0,1027.0,-6.0,SE,55.43,0.0,0.0
48,49,2010,1,3,0,4,,,,63.0,-7.0,92.0,1027.0,-6.0,SE,58.56,0.4,0.4
49,50,2010,1,3,1,4,,,,65.0,-8.0,85.0,1026.0,-6.0,SE,61.69,0.5,0.9
50,51,2010,1,3,2,4,,,,55.0,-8.0,92.0,1026.0,-7.0,SE,65.71,0.5,1.4
51,52,2010,1,3,3,4,,,,65.0,-8.0,92.0,1025.0,-7.0,SE,68.84,0.7,2.1
52,53,2010,1,3,4,4,,,,83.0,-8.0,92.0,1024.0,-7.0,SE,72.86,1.2,3.3
53,54,2010,1,3,5,4,,,,91.0,-9.0,92.0,1024.0,-8.0,SE,76.88,0.7,4.0
54,55,2010,1,3,6,4,,,,86.0,-10.0,85.0,1024.0,-8.0,SE,80.9,1.0,5.0
55,56,2010,1,3,7,4,,,,82.0,-10.0,92.0,1024.0,-9.0,SE,84.92,0.7,5.7
56,57,2010,1,3,8,4,,,,86.0,-10.0,92.0,1024.0,-9.0,SE,89.84,0.5,6.2
57,58,2010,1,3,9,4,,,,78.0,-11.0,85.0,1023.0,-9.0,SE,93.86,0.7,6.9
58,59,2010,1,3,10,4,,,,98.0,-11.0,85.0,1023.0,-9.0,SE,97.88,0.4,7.3
59,60,2010,1,3,11,4,,,,107.0,-11.0,85.0,1022.0,-9.0,SE,102.8,0.5,7.8
60,61,2010,1,3,12,4,,,,90.0,-11.0,85.0,1021.0,-9.0,SE,105.93,1.1,8.9
61,62,2010,1,3,13,4,,,,96.0,-11.0,85.0,1020.0,-9.0,SE,111.74,0.5,9.4
62,63,2010,1,3,14,4,,,,95.0,-11.0,85.0,1020.0,-9.0,SE,116.66,0.3,9.7
63,64,2010,1,3,15,4,,,,86.0,-11.0,85.0,1020.0,-9.0,SE,121.58,0.5,10.2
64,65,2010,1,3,16,4,,,,70.0,-11.0,85.0,1020.0,-9.0,SE,124.71,0.2,10.4
65,66,2010,1,3,17,4,,,,61.0,-11.0,85.0,1020.0,-9.0,SE,127.84,0.1,10.5
66,67,2010,1,3,18,4,,,,53.0,-11.0,85.0,1021.0,-9.0,cv,0.89,0.4,10.9
67,68,2010,1,3,19,4,,,,71.0,-11.0,85.0,1022.0,-9.0,cv,1.78,0.3,11.2
68,69,2010,1,3,20,4,,,,72.0,-10.0,92.0,1022.0,-9.0,NW,4.02,0.0,0.0
69,70,2010,1,3,21,4,,,,76.0,-11.0,92.0,1023.0,-10.0,NW,7.15,0.0,0.0
70,71,2010,1,3,22,4,,,,73.0,-11.0,85.0,1023.0,-9.0,NW,11.17,0.0,0.0
71,72,2010,1,3,23,4,,,,79.0,-12.0,92.0,1023.0,-11.0,NW,14.3,0.0,0.0
72,73,2010,1,4,0,4,,,,58.0,-14.0,85.0,1023.0,-12.0,NW,16.09,0.0,0.0
73,74,2010,1,4,1,4,,,,25.0,-16.0,56.0,1023.0,-9.0,NW,21.9,0.0,0.0
74,75,2010,1,4,2,4,,,,26.0,-17.0,56.0,1024.0,-10.0,NW,29.95,0.0,0.0
75,76,2010,1,4,3,4,,,,28.0,-18.0,56.0,1024.0,-11.0,NW,39.78,0.0,0.0
76,77,2010,1,4,4,4,,,,26.0,-19.0,51.0,1025.0,-11.0,NW,48.72,0.0,0.0
77,78,2010,1,4,5,4,,,,20.0,-20.0,51.0,1026.0,-12.0,NW,55.87,0.0,0.0
78,79,2010,1,4,6,4,,,,29.0,-21.0,47.0,1027.0,-12.0,NW,64.81,0.0,0.0
79,80,2010,1,4,7,4,,,,26.0,-21.0,51.0,1027.0,-13.0,NW,73.75,0.0,0.0
80,81,2010,1,4,8,4,,,,27.0,-22.0,46.0,1028.0,-13.0,NW,80.9,0.0,0.0
81,82,2010,1,4,9,4,,,,27.0,-22.0,46.0,1029.0,-13.0,NW,90.73,0.0,0.0
82,83,2010,1,4,10,4,,,,25.0,-22.0,43.0,1030.0,-12.0,NW,100.56,0.0,0.0
83,84,2010,1,4,11,4,,,,29.0,-23.0,39.0,1031.0,-12.0,NW,108.61,0.0,0.0
84,85,2010,1,4,12,4,,,,32.0,-21.0,43.0,1030.0,-11.0,NW,117.55,0.0,0.0
85,86,2010,1,4,13,4,,,,28.0,-20.0,43.0,1030.0,-10.0,NW,127.38,0.0,0.0
86,87,2010,1,4,14,4,,,,29.0,-21.0,40.0,1030.0,-10.0,NW,136.32,0.0,0.0
87,88,2010,1,4,15,4,,,,30.0,-21.0,37.0,1030.0,-9.0,NW,145.26,0.0,0.0
88,89,2010,1,4,16,4,,,,30.0,-21.0,37.0,1031.0,-9.0,NW,152.41,0.0,0.0
89,90,2010,1,4,17,4,,,,28.0,-20.0,47.0,1032.0,-11.0,NW,159.56,0.0,0.0
90,91,2010,1,4,18,4,,,,26.0,-23.0,36.0,1032.0,-11.0,NW,165.37,0.0,0.0
91,92,2010,1,4,19,4,,,,31.0,-21.0,47.0,1033.0,-12.0,NW,171.18,0.0,0.0
92,93,2010,1,4,20,4,,,,33.0,-24.0,36.0,1034.0,-12.0,NW,180.12,0.0,0.0
93,94,2010,1,4,21,4,,,,29.0,-24.0,39.0,1034.0,-13.0,NW,187.27,0.0,0.0
94,95,2010,1,4,22,4,,,,31.0,-24.0,39.0,1035.0,-13.0,NW,195.32,0.0,0.0
95,96,2010,1,4,23,4,,,,30.0,-26.0,38.0,1035.0,-15.0,NW,198.45,0.0,0.0
96,97,2010,1,5,0,4,,,,34.0,-26.0,45.0,1035.0,-17.0,NW,201.58,0.0,0.0
97,98,2010,1,5,1,4,,,,27.0,-26.0,49.0,1035.0,-18.0,NW,205.6,0.0,0.0
98,99,2010,1,5,2,4,,,,25.0,-26.0,53.0,1035.0,-19.0,NW,208.73,0.0,0.0
99,100,2010,1,5,3,4,,,,28.0,-27.0,45.0,1035.0,-18.0,NW,213.65,0.0,0.0
100,101,2010,1,5,4,4,,,,28.0,-27.0,49.0,1035.0,-19.0,NW,218.57,0.0,0.0
101,102,2010,1,5,5,4,,,,27.0,-27.0,38.0,1034.0,-16.0,NE,4.92,0.0,0.0
102,103,2010,1,5,6,4,,,,27.0,-26.0,41.0,1035.0,-16.0,NE,8.05,0.0,0.0
103,104,2010,1,5,7,4,,,,27.0,-27.0,38.0,1034.0,-16.0,NE,13.86,0.0,0.0
104,105,2010,1,5,8,4,,,,29.0,-26.0,41.0,1035.0,-16.0,NE,18.78,0.0,0.0
105,106,2010,1,5,9,4,,,,36.0,-26.0,38.0,1035.0,-15.0,NE,24.59,0.0,0.0
106,107,2010,1,5,10,4,,,,30.0,-25.0,38.0,1035.0,-14.0,NE,29.51,0.0,0.0
