No,pm,DEWP,TEMP,PRES,Iws,Is,Ir,HUMI,precipitation,Iprec,cbwd,rain,snow
25,129,-16,-4.0,1020.0,1.79,0,0,38.0,0.0,0.0,0.0,0.0,0.0
26,148,-15,-4.0,1020.0,2.68,0,0,42.0,0.0,0.0,0.0,0.0,0.0
27,159,-11,-5.0,1021.0,3.57,0,0,63.5,0.0,0.0,0.0,0.0,0.0
28,181,-7,-5.0,1022.0,5.36,1,0,85.0,0.0,0.0,0.0,0.0,1.0
29,138,-7,-5.0,1022.0,6.25,2,0,85.0,0.0,0.0,0.0,0.0,1.0
30,109,-7,-6.0,1022.0,7.14,3,0,92.0,0.0,0.0,0.0,0.0,1.0
31,105,-7,-6.0,1023.0,8.93,4,0,92.0,0.0,0.0,0.0,0.0,1.0
32,124,-7,-5.0,1024.0,10.72,0,0,85.0,0.0,0.0,0.0,0.0,0.0
33,120,-8,-6.0,1024.0,12.51,0,0,85.0,0.0,0.0,0.0,0.0,0.0
34,132,-7,-5.0,1025.0,14.3,0,0,85.0,0.0,0.0,0.0,0.0,0.0
35,140,-7,-5.0,1026.0,17.43,1,0,85.0,0.0,0.0,0.0,0.0,1.0
36,152,-8,-5.0,1026.0,20.56,0,0,79.0,0.0,0.0,0.0,0.0,0.0
37,148,-8,-5.0,1026.0,23.69,0,0,79.0,0.0,0.0,0.0,0.0,0.0
38,164,-8,-5.0,1025.0,27.71,0,0,79.0,0.0,0.0,0.0,0.0,0.0
39,158,-9,-5.0,1025.0,31.73,0,0,73.0,0.0,0.0,0.0,0.0,0.0
40,154,-9,-5.0,1025.0,35.75,0,0,73.0,0.0,0.0,0.0,0.0,0.0
41,159,-9,-5.0,1026.0,37.54,0,0,73.0,0.0,0.0,0.0,0.0,0.0
42,164,-8,-5.0,1027.0,39.33,0,0,79.0,0.0,0.0,0.0,0.0,0.0
43,170,-8,-5.0,1027.0,42.46,0,0,79.0,0.0,0.0,0.0,0.0,0.0
44,149,-8,-5.0,1028.0,44.25,0,0,79.0,0.0,0.0,0.0,0.0,0.0
45,154,-7,-5.0,1028.0,46.04,0,0,85.0,0.0,0.0,0.0,0.0,0.0
46,164,-7,-5.0,1027.0,49.17,1,0,85.0,0.0,0.0,0.0,0.0,1.0
47,156,-8,-6.0,1028.0,52.3,2,0,85.0,0.0,0.0,0.0,0.0,1.0
48,126,-8,-6.0,1027.0,55.43,3,0,85.0,0.0,0.0,0.0,0.0,1.0
49,90,-7,-6.0,1027.0,58.56,4,0,92.0,0.4,0.4,0.0,0.0,1.0
50,63,-8,-6.0,1026.0,61.69,5,0,85.0,0.5,0.9,0.0,0.0,1.0
51,65,-8,-7.0,1026.0,65.71,6,0,92.0,0.5,1.4,0.0,0.0,1.0
52,55,-8,-7.0,1025.0,68.84,7,0,92.0,0.7,2.1,0.0,0.0,1.0
53,65,-8,-7.0,1024.0,72.86,8,0,92.0,1.2,3.3,0.0,0.0,1.0
